product_id,product_name,category,total_units_sold,total_revenue,average_rating,review_count
95,Progressive even-keeled hierarchy,Electronics,43,15875.17,3.0,4
245,Public-key scalable middleware,Books,39,15797.34,4.0,2
166,Visionary mission-critical framework,Clothing,42,15763.86,2.33,3
115,Function-based dynamic support,Books,32,15744.32,3.14,7
191,Proactive zero-defect customer loyalty,Sports,35,15719.2,2.0,1
430,Organic systemic functionalities,Home & Garden,33,15692.16,3.0,2
410,Diverse upward-trending Graphical User Interface,Books,37,15674.68,2.5,2
249,Expanded multi-tasking challenge,Clothing,35,15449.35,2.0,4
357,Profit-focused value-added paradigm,Clothing,31,15322.06,3.2,5
91,Customizable foreground support,Sports,33,15299.79,2.67,3
267,Balanced homogeneous ability,Home & Garden,42,15205.68,2.57,7
44,Synergized object-oriented conglomeration,Home & Garden,34,15060.98,3.4,5
84,Reverse-engineered web-enabled core,Books,37,14983.89,3.67,3
348,Ergonomic methodical challenge,Sports,30,14983.8,5.0,1
223,Synergized discrete function,Electronics,31,14844.66,2.33,3
151,Down-sized non-volatile adapter,Clothing,30,14560.5,3.33,6
175,Reverse-engineered bottom-line firmware,Clothing,35,14354.2,3.0,2
393,Automated radical functionalities,Sports,47,14342.99,5.0,2
189,Seamless client-driven website,Books,35,14295.05,3.2,5
133,Ameliorated encompassing standardization,Electronics,30,14006.4,3.5,2
87,Open-architected web-enabled orchestration,Clothing,37,13986.37,1.25,4
143,Multi-tiered bandwidth-monitored frame,Sports,32,13975.04,0.0,0
367,Devolved human-resource task-force,Books,41,13891.21,1.75,4
12,Public-key homogeneous utilization,Electronics,36,13785.48,3.0,1
236,Streamlined systematic process improvement,Electronics,40,13748.4,2.67,3
190,Reduced intermediate archive,Books,33,13732.29,3.2,5
33,Persistent cohesive hierarchy,Sports,30,13731.0,2.67,3
121,Synergistic asynchronous info-mediaries,Clothing,38,13688.36,3.0,2
395,Programmable multi-state architecture,Books,34,13614.96,3.57,7
491,Persistent discrete challenge,Clothing,36,13475.88,3.0,3
473,Innovative full-range artificial intelligence,Sports,40,13466.4,2.67,6
292,Streamlined interactive capacity,Electronics,28,13447.0,1.0,2
89,Decentralized grid-enabled function,Electronics,31,13423.0,5.0,1
276,Multi-lateral cohesive support,Clothing,38,13308.36,3.5,4
356,Innovative reciprocal Internet solution,Sports,29,13257.35,0.0,0
386,Ergonomic value-added benchmark,Sports,41,13172.07,3.5,4
275,Universal coherent algorithm,Books,27,13156.56,4.0,3
262,Total system-worthy neural-net,Home & Garden,39,13012.74,3.25,4
205,Function-based coherent methodology,Sports,34,12850.98,1.0,1
363,Multi-channeled cohesive function,Clothing,39,12835.68,2.0,4
289,User-centric holistic instruction set,Home & Garden,28,12731.88,2.6,5
150,Virtual real-time matrices,Electronics,27,12687.84,2.5,2
268,Compatible bifurcated definition,Clothing,34,12672.82,3.67,3
40,Multi-tiered local extranet,Books,37,12648.08,3.67,3
168,Progressive intermediate intranet,Home & Garden,30,12530.7,2.67,3
242,Function-based encompassing task-force,Sports,28,12497.24,1.0,1
140,Devolved tertiary pricing structure,Sports,27,12490.74,0.0,0
496,Diverse impactful data-warehouse,Electronics,33,12488.85,0.0,0
184,Robust optimal moratorium,Books,26,12458.94,2.75,4
417,Face-to-face exuding paradigm,Clothing,27,12367.35,2.5,4
260,Fundamental impactful projection,Electronics,31,12322.5,3.67,3
337,Phased solution-oriented service-desk,Clothing,26,12318.8,2.0,1
483,Open-source system-worthy forecast,Books,32,12316.16,2.33,3
118,Distributed value-added groupware,Home & Garden,28,12310.76,0.0,0
50,Profound actuating paradigm,Books,38,12208.64,3.0,4
225,Phased scalable success,Books,29,12192.18,3.33,3
65,Down-sized regional portal,Sports,27,12158.37,2.5,2
463,Programmable bifurcated approach,Sports,28,12135.76,1.75,4
288,Ameliorated 24/7 complexity,Sports,31,12058.07,4.25,4
354,Optional reciprocal model,Sports,28,12004.44,3.8,5
194,Object-based uniform focus group,Home & Garden,38,11979.12,2.86,7
102,Focused web-enabled pricing structure,Electronics,41,11953.96,2.6,5
495,Horizontal zero administration forecast,Clothing,27,11940.75,5.0,1
255,Programmable full-range task-force,Books,27,11897.55,2.0,1
193,Business-focused bandwidth-monitored initiative,Books,37,11863.68,2.67,3
327,Distributed regional process improvement,Sports,27,11754.18,3.0,2
291,Visionary system-worthy complexity,Electronics,41,11745.27,2.5,2
28,Business-focused system-worthy forecast,Electronics,34,11691.92,2.5,4
454,Stand-alone executive project,Sports,33,11372.46,5.0,2
231,Self-enabling cohesive Internet solution,Home & Garden,39,11366.55,2.33,3
449,Reduced homogeneous encoding,Sports,38,11356.68,3.33,6
365,Universal system-worthy protocol,Sports,36,11286.36,3.0,2
78,Re-contextualized holistic functionalities,Electronics,34,11167.64,3.0,1
458,Phased secondary alliance,Books,35,11142.95,3.2,5
301,Visionary grid-enabled Internet solution,Books,28,11106.76,3.5,2
359,Multi-channeled value-added throughput,Home & Garden,23,11105.55,0.0,0
99,Realigned discrete middleware,Electronics,26,11086.66,3.0,5
455,Automated human-resource solution,Electronics,24,10927.2,2.0,1
221,Up-sized needs-based task-force,Electronics,29,10897.33,3.0,2
228,Profound static encryption,Home & Garden,31,10888.44,4.5,2
385,Streamlined zero tolerance architecture,Books,23,10876.47,2.5,2
31,User-centric client-server installation,Home & Garden,23,10850.02,4.0,2
187,Progressive multi-tasking methodology,Books,27,10845.9,0.0,0
281,Future-proofed content-based adapter,Sports,23,10829.09,2.71,7
237,Object-based high-level workforce,Electronics,22,10824.0,1.0,1
431,Configurable client-server challenge,Home & Garden,22,10792.32,2.0,1
345,Extended mobile matrix,Books,23,10751.35,2.0,1
21,Progressive regional projection,Electronics,25,10709.5,3.0,7
29,Progressive bottom-line benchmark,Home & Garden,26,10706.54,1.0,1
68,Switchable human-resource forecast,Electronics,36,10666.08,3.14,7
248,Pre-emptive logistical moderator,Electronics,25,10665.0,1.0,1
419,Progressive homogeneous encryption,Sports,30,10560.9,3.67,3
484,Enhanced non-volatile projection,Books,31,10512.41,4.75,4
383,Fully-configurable national solution,Home & Garden,26,10485.54,3.5,2
203,Programmable fault-tolerant structure,Books,30,10478.4,3.0,3
159,Advanced 6thgeneration frame,Clothing,29,10472.48,0.0,0
264,Monitored local hierarchy,Books,21,10464.93,0.0,0
7,User-centric disintermediate solution,Books,29,10423.47,2.0,1
341,Vision-oriented zero-defect open architecture,Clothing,45,10399.95,3.0,2
18,Front-line national interface,Books,24,10356.96,3.71,7
55,Mandatory heuristic matrices,Home & Garden,21,10347.33,2.5,2
244,Virtual leadingedge neural-net,Home & Garden,39,10267.14,2.8,5
464,Total 3rdgeneration approach,Sports,23,10226.03,5.0,1
462,Seamless encompassing application,Books,31,10201.48,3.0,3
206,Robust intermediate conglomeration,Books,27,10125.54,2.4,5
48,Team-oriented bottom-line policy,Clothing,40,10111.6,3.43,7
105,Organic 5thgeneration circuit,Home & Garden,30,10095.3,4.25,4
116,Devolved impactful service-desk,Books,30,10067.7,2.75,4
439,Cross-group bottom-line moderator,Clothing,34,10038.84,3.33,3
266,Universal context-sensitive customer loyalty,Clothing,64,10033.92,3.33,6
3,De-engineered leadingedge forecast,Books,27,9977.85,4.0,1
19,Synchronized national parallelism,Electronics,28,9905.28,4.0,1
399,Ameliorated zero tolerance Internet solution,Electronics,25,9884.0,4.0,4
403,Monitored tertiary neural-net,Home & Garden,25,9858.0,3.5,2
178,Exclusive scalable forecast,Electronics,32,9842.56,3.33,6
134,Customer-focused clear-thinking intranet,Clothing,54,9834.48,3.86,7
149,Optimized value-added utilization,Books,38,9772.08,3.17,6
155,Synchronized eco-centric orchestration,Books,32,9762.24,5.0,1
9,Exclusive analyzing standardization,Electronics,24,9736.08,1.75,4
440,Up-sized neutral challenge,Books,25,9707.75,3.33,3
148,Optimized explicit capacity,Home & Garden,25,9695.0,3.0,4
92,Polarized intangible success,Books,45,9647.55,3.6,5
210,Innovative zero administration attitude,Sports,28,9553.04,3.0,2
63,Business-focused static infrastructure,Clothing,26,9524.32,2.0,4
428,Implemented impactful conglomeration,Electronics,20,9520.0,2.0,1
394,Ergonomic methodical interface,Home & Garden,21,9503.76,3.5,2
432,User-friendly executive encoding,Home & Garden,21,9478.14,0.0,0
425,Self-enabling radical alliance,Clothing,32,9463.36,2.5,2
230,Fully-configurable methodical support,Home & Garden,23,9442.65,4.0,1
160,Centralized next generation service-desk,Home & Garden,43,9395.07,2.0,5
216,Business-focused directional utilization,Electronics,40,9341.6,3.0,2
109,Adaptive bi-directional flexibility,Books,40,9274.0,2.33,3
277,Integrated transitional parallelism,Sports,21,9132.69,3.5,2
164,Organized cohesive leverage,Books,26,9103.12,3.0,5
326,Inverse 24hour firmware,Electronics,35,9090.55,3.0,1
499,Devolved composite process improvement,Clothing,43,9030.86,3.25,4
322,Upgradable systemic orchestration,Sports,36,9009.36,4.0,1
4,Optional neutral matrix,Electronics,30,8918.7,3.33,3
406,Enterprise-wide global implementation,Home & Garden,22,8892.62,2.38,8
69,Compatible 4thgeneration success,Electronics,25,8884.5,0.0,0
256,Horizontal web-enabled moratorium,Clothing,34,8864.82,3.0,3
214,Down-sized 4thgeneration instruction set,Electronics,31,8815.47,2.2,5
309,Visionary scalable help-desk,Home & Garden,43,8782.32,0.0,0
152,Pre-emptive discrete standardization,Home & Garden,18,8666.1,3.0,1
263,Pre-emptive executive knowledgebase,Home & Garden,31,8648.07,2.67,3
64,Assimilated bandwidth-monitored matrices,Home & Garden,54,8602.2,4.25,4
60,Synergized 24/7 algorithm,Home & Garden,31,8591.65,2.75,4
351,Polarized fresh-thinking initiative,Sports,31,8494.0,2.67,3
442,Networked 24/7 pricing structure,Clothing,31,8444.71,0.0,0
156,Visionary explicit attitude,Books,43,8413.81,2.5,4
183,Virtual disintermediate benchmark,Clothing,39,8402.55,3.33,3
258,Intuitive intangible conglomeration,Clothing,30,8394.3,5.0,2
323,Exclusive well-modulated hardware,Electronics,22,8391.9,3.8,5
408,Digitized dedicated solution,Clothing,22,8322.6,3.0,3
474,Vision-oriented bifurcated database,Sports,19,8311.36,5.0,1
182,Team-oriented content-based artificial intelligence,Electronics,24,8288.88,3.0,4
41,Synergistic static policy,Books,42,8209.32,1.5,2
204,Re-contextualized even-keeled secured line,Home & Garden,34,8197.4,2.0,3
239,Managed intermediate pricing structure,Home & Garden,32,8174.4,2.25,4
377,Stand-alone upward-trending framework,Clothing,39,8149.83,0.0,0
72,Grass-roots grid-enabled paradigm,Sports,57,8142.45,2.4,5
74,Balanced executive benchmark,Sports,34,8124.98,3.0,2
287,Cloned national analyzer,Books,27,8102.16,1.5,2
364,Switchable leadingedge utilization,Home & Garden,34,8071.6,4.0,2
461,Digitized bifurcated budgetary management,Electronics,37,8064.15,2.75,4
270,Progressive real-time concept,Books,22,8000.74,2.0,3
485,Optional 3rdgeneration moratorium,Home & Garden,26,7967.7,3.25,4
219,Enterprise-wide contextually-based moratorium,Sports,21,7922.04,3.0,3
310,Stand-alone responsive complexity,Sports,29,7896.41,4.0,2
6,Focused local knowledge user,Books,26,7878.0,3.33,3
376,User-friendly mission-critical ability,Clothing,36,7854.84,4.33,3
88,Fully-configurable next generation moratorium,Sports,38,7834.46,2.8,5
79,Self-enabling actuating firmware,Home & Garden,38,7763.4,2.83,6
414,Intuitive modular model,Home & Garden,40,7744.4,3.33,3
259,Reverse-engineered maximized implementation,Sports,32,7701.44,3.14,7
47,Customizable multimedia firmware,Home & Garden,16,7634.24,4.5,2
314,Inverse responsive function,Home & Garden,16,7610.24,5.0,1
482,Configurable secondary knowledgebase,Books,35,7609.35,3.5,2
119,Open-source attitude-oriented protocol,Books,17,7571.97,3.0,2
390,Grass-roots regional success,Home & Garden,26,7527.78,2.5,2
500,User-centric 6thgeneration hardware,Home & Garden,29,7499.69,1.0,1
448,Advanced composite structure,Home & Garden,33,7487.7,1.5,2
232,Synergistic asymmetric protocol,Sports,22,7486.38,3.0,2
42,Polarized contextually-based archive,Books,28,7473.48,1.0,2
282,Customizable background adapter,Sports,18,7415.1,4.0,3
10,Polarized motivating capability,Sports,18,7269.84,2.67,3
17,Assimilated bandwidth-monitored attitude,Books,26,7234.76,2.0,2
188,Managed leadingedge knowledge user,Sports,24,7194.0,3.33,3
452,Profound zero administration synergy,Electronics,31,7183.63,2.67,3
429,Re-contextualized disintermediate pricing structure,Sports,38,7159.58,3.0,2
179,Sharable foreground synergy,Books,34,7145.1,3.0,2
409,Switchable fault-tolerant info-mediaries,Sports,21,7135.38,2.5,4
290,Organized full-range groupware,Sports,24,7111.68,3.0,3
73,Versatile scalable conglomeration,Books,26,7069.92,3.14,7
136,Public-key eco-centric capability,Books,16,7007.68,3.0,1
490,Decentralized zero-defect functionalities,Electronics,22,7005.24,4.0,2
174,Open-source multimedia extranet,Home & Garden,22,7002.82,4.0,3
346,Robust next generation protocol,Home & Garden,17,6989.89,0.0,0
176,Versatile impactful website,Clothing,44,6981.04,2.33,3
247,Adaptive asynchronous support,Home & Garden,19,6970.34,2.67,3
294,Self-enabling responsive contingency,Clothing,21,6970.11,2.0,3
131,Assimilated responsive moratorium,Sports,25,6962.5,1.0,1
192,Integrated well-modulated secured line,Clothing,52,6931.6,3.25,4
427,Synergistic value-added intranet,Sports,28,6922.44,5.0,2
34,Sharable radical migration,Clothing,50,6806.0,1.0,2
379,Digitized dynamic groupware,Clothing,35,6802.6,4.0,2
36,Fundamental didactic system engine,Books,23,6770.51,2.0,1
45,Total homogeneous info-mediaries,Electronics,21,6767.88,3.0,2
1,Centralized explicit collaboration,Electronics,21,6751.92,2.5,2
217,Ameliorated radical budgetary management,Clothing,35,6743.1,3.0,7
238,Assimilated executive productivity,Home & Garden,25,6717.75,1.67,3
127,Synchronized national definition,Sports,30,6711.3,2.0,1
423,Enhanced needs-based protocol,Home & Garden,34,6710.92,1.0,1
229,Diverse 5thgeneration open architecture,Electronics,22,6708.24,3.0,3
66,Distributed methodical encryption,Electronics,52,6640.92,2.6,5
361,Phased attitude-oriented focus group,Sports,25,6633.75,3.0,5
465,Streamlined value-added hub,Sports,16,6633.12,4.33,3
13,Sharable asynchronous attitude,Home & Garden,34,6564.04,1.5,2
413,Re-engineered next generation projection,Home & Garden,35,6560.75,2.67,3
22,Cloned interactive productivity,Home & Garden,46,6559.6,3.0,5
158,Team-oriented static Graphic Interface,Books,25,6559.0,3.67,3
381,Reduced exuding adapter,Home & Garden,28,6531.56,2.6,5
181,Open-source tangible process improvement,Clothing,32,6490.56,4.0,1
107,Open-source bifurcated functionalities,Sports,20,6490.4,4.0,1
286,Future-proofed zero-defect project,Sports,23,6468.75,4.5,2
445,Centralized 4thgeneration system engine,Clothing,39,6445.53,5.0,1
415,De-engineered content-based throughput,Sports,19,6441.76,0.0,0
161,Open-source multimedia extranet,Electronics,40,6415.6,2.57,7
335,Inverse bottom-line open architecture,Books,23,6386.41,2.67,3
318,Cross-group empowering circuit,Sports,20,6384.4,0.0,0
124,Integrated grid-enabled system engine,Home & Garden,20,6379.4,2.33,3
435,Compatible real-time collaboration,Books,19,6328.33,0.0,0
316,Pre-emptive multimedia Graphical User Interface,Sports,24,6285.36,3.0,2
467,Synchronized neutral capacity,Home & Garden,39,6228.3,3.5,2
94,Intuitive human-resource frame,Electronics,41,6226.67,0.0,0
35,Assimilated zero administration secured line,Home & Garden,22,6223.36,2.0,1
172,Self-enabling incremental approach,Clothing,26,6219.98,2.0,3
493,Focused needs-based complexity,Home & Garden,33,6209.94,4.67,3
111,Sharable asynchronous complexity,Home & Garden,45,6132.15,2.43,7
487,Front-line secondary emulation,Electronics,35,6062.35,2.67,3
234,Polarized homogeneous matrix,Clothing,20,5961.8,2.0,4
235,Polarized next generation installation,Home & Garden,17,5951.87,2.33,3
329,Sharable next generation moratorium,Sports,19,5950.8,1.67,3
352,Ergonomic 5thgeneration system engine,Clothing,36,5914.08,3.0,2
330,Customizable neutral success,Electronics,26,5819.06,3.33,3
90,Virtual radical leverage,Sports,30,5777.7,3.0,4
123,Organic multi-tasking pricing structure,Electronics,23,5676.86,3.4,5
416,Organic value-added analyzer,Books,18,5610.24,0.0,0
320,Vision-oriented contextually-based open system,Electronics,33,5609.67,3.0,2
32,Assimilated global algorithm,Sports,17,5600.48,3.33,3
312,Intuitive bottom-line portal,Home & Garden,34,5594.7,2.5,4
460,Configurable user-facing project,Books,37,5585.89,5.0,1
422,Persevering foreground contingency,Books,46,5576.58,1.86,7
71,Function-based hybrid access,Books,33,5562.48,2.33,3
11,Configurable logistical framework,Clothing,39,5559.45,3.4,5
265,Distributed executive archive,Sports,31,5553.65,2.67,3
104,Robust mobile complexity,Home & Garden,21,5539.38,1.0,1
197,Distributed 24hour throughput,Clothing,20,5447.6,3.0,2
250,Vision-oriented maximized matrices,Books,23,5405.69,1.0,3
300,Expanded zero tolerance infrastructure,Home & Garden,44,5303.76,3.0,2
402,Reverse-engineered real-time initiative,Clothing,25,5266.75,5.0,1
170,Synchronized system-worthy Local Area Network,Sports,16,5265.28,3.8,5
302,Reduced asynchronous solution,Clothing,13,5238.09,2.0,1
251,Sharable maximized frame,Electronics,27,5200.2,0.0,0
120,Virtual background synergy,Books,37,5172.97,3.5,4
332,Multi-tiered reciprocal encoding,Sports,35,5164.95,2.33,6
254,Upgradable exuding model,Books,36,5163.48,2.83,6
145,Synergistic zero administration hardware,Clothing,33,5150.31,2.75,4
240,Optimized value-added architecture,Sports,12,5106.48,0.0,0
14,Secured global firmware,Home & Garden,29,5082.54,3.0,1
220,Multi-tiered empowering Local Area Network,Sports,12,5019.36,2.0,4
139,Public-key analyzing capability,Clothing,24,5018.16,2.5,2
77,Enhanced transitional middleware,Electronics,24,5004.0,3.5,4
114,Assimilated intangible capacity,Home & Garden,18,4930.02,1.33,3
387,Streamlined fault-tolerant flexibility,Home & Garden,38,4894.4,3.6,5
404,Function-based 4thgeneration monitoring,Home & Garden,19,4814.41,2.5,2
122,Reverse-engineered real-time info-mediaries,Home & Garden,15,4784.25,5.0,1
306,Open-architected regional projection,Books,12,4768.2,3.0,1
480,Realigned multimedia artificial intelligence,Electronics,17,4765.95,2.0,2
196,Phased demand-driven solution,Home & Garden,34,4743.0,2.5,4
486,Fundamental client-driven flexibility,Home & Garden,50,4715.5,3.0,6
443,Reverse-engineered homogeneous focus group,Electronics,14,4651.08,3.0,1
246,Enterprise-wide analyzing system engine,Sports,19,4642.27,2.67,3
241,Universal logistical utilization,Home & Garden,21,4611.39,2.33,3
27,Advanced even-keeled attitude,Books,33,4574.46,2.4,5
75,Business-focused national process improvement,Electronics,22,4542.78,3.5,2
370,Vision-oriented grid-enabled approach,Home & Garden,37,4484.77,3.0,3
222,Integrated dynamic migration,Electronics,25,4455.75,3.0,4
37,Multi-channeled contextually-based ability,Clothing,24,4420.56,0.0,0
62,Proactive cohesive intranet,Books,40,4393.6,3.5,2
106,Visionary systematic approach,Clothing,32,4367.36,3.2,5
382,Re-contextualized hybrid attitude,Electronics,33,4335.87,3.67,3
23,Persevering object-oriented framework,Clothing,23,4329.52,2.0,2
180,Multi-lateral asynchronous functionalities,Sports,12,4326.96,4.0,1
478,Managed web-enabled standardization,Sports,53,4324.27,2.88,8
396,Inverse analyzing firmware,Clothing,24,4305.6,3.0,3
226,Configurable empowering open system,Sports,34,4184.72,4.0,1
144,Focused scalable help-desk,Sports,40,4151.6,1.0,1
459,Vision-oriented leadingedge budgetary management,Books,25,4149.25,3.5,4
97,Advanced logistical archive,Books,17,4097.17,2.25,4
2,Enterprise-wide mobile secured line,Clothing,29,4093.06,3.0,4
253,Virtual multimedia array,Home & Garden,37,4070.0,1.5,2
321,Enterprise-wide client-driven customer loyalty,Sports,48,4061.28,2.5,6
167,User-friendly analyzing hub,Sports,14,4013.94,3.0,3
317,Reduced next generation data-warehouse,Books,28,3995.32,2.0,2
30,Expanded homogeneous challenge,Clothing,29,3988.37,4.0,3
298,Balanced bi-directional hub,Home & Garden,33,3946.14,2.0,1
489,Sharable full-range groupware,Clothing,19,3864.41,3.5,6
147,Advanced 4thgeneration architecture,Electronics,23,3852.27,0.0,0
82,Multi-lateral didactic hardware,Home & Garden,18,3848.94,0.0,0
24,Public-key attitude-oriented monitoring,Electronics,28,3840.2,1.0,1
476,Inverse fresh-thinking forecast,Home & Garden,26,3831.88,2.0,1
347,Public-key actuating application,Books,25,3819.75,1.0,1
279,Operative fresh-thinking access,Sports,16,3797.6,0.0,0
450,Universal reciprocal orchestration,Books,33,3784.11,2.0,1
274,Multi-tiered high-level analyzer,Home & Garden,14,3771.6,1.0,1
481,Compatible fresh-thinking standardization,Clothing,26,3715.14,3.0,3
165,Polarized real-time infrastructure,Sports,37,3698.52,2.83,6
498,Universal bottom-line protocol,Books,17,3653.13,3.0,1
207,Inverse object-oriented function,Clothing,12,3643.32,3.0,3
433,Profit-focused reciprocal model,Clothing,18,3637.44,2.33,3
355,Innovative zero tolerance policy,Sports,22,3575.0,2.0,2
200,Virtual well-modulated projection,Sports,21,3544.59,2.0,2
96,Seamless stable groupware,Electronics,22,3525.06,2.5,2
350,Multi-layered contextually-based array,Books,20,3516.8,2.67,3
470,Implemented context-sensitive capacity,Home & Garden,16,3500.48,3.5,2
169,Team-oriented dynamic knowledgebase,Books,32,3489.28,3.0,3
353,Multi-tiered value-added archive,Sports,28,3449.88,3.25,4
441,Switchable 5thgeneration architecture,Clothing,24,3414.0,1.0,1
342,Sharable background methodology,Books,34,3377.9,3.0,1
405,Triple-buffered 24/7 portal,Sports,39,3371.55,4.33,3
384,Enterprise-wide didactic contingency,Electronics,12,3306.84,4.0,1
157,Innovative clear-thinking framework,Sports,25,3277.25,4.0,3
261,Profound even-keeled Graphical User Interface,Clothing,28,3211.32,5.0,2
492,Synchronized composite intranet,Home & Garden,15,3192.3,3.0,1
340,Phased reciprocal Graphic Interface,Sports,13,3169.92,4.0,3
83,Right-sized motivating encoding,Electronics,24,3087.6,3.67,3
271,Phased uniform complexity,Electronics,21,3046.68,2.25,4
299,Multi-channeled modular firmware,Electronics,7,3013.57,5.0,1
218,Exclusive foreground interface,Sports,18,3002.22,5.0,2
304,Virtual upward-trending flexibility,Home & Garden,38,2992.5,2.0,3
38,Organized regional algorithm,Electronics,12,2991.48,1.0,2
412,Reverse-engineered multimedia artificial intelligence,Electronics,22,2990.02,2.0,1
81,Reduced full-range middleware,Sports,30,2974.5,0.0,0
349,Right-sized actuating database,Books,37,2906.35,3.67,3
362,Reverse-engineered reciprocal initiative,Sports,8,2900.88,0.0,0
257,Phased asynchronous challenge,Sports,23,2862.81,4.5,2
389,Enterprise-wide multimedia intranet,Books,23,2815.66,5.0,1
373,Organic hybrid architecture,Home & Garden,32,2795.2,4.0,1
211,User-friendly high-level core,Sports,32,2774.4,1.0,1
243,Diverse human-resource circuit,Clothing,34,2744.82,3.5,2
426,Total user-facing algorithm,Electronics,13,2734.81,1.33,3
369,Enhanced national array,Books,10,2728.0,0.0,0
334,Innovative high-level orchestration,Clothing,22,2715.9,0.0,0
20,Optimized systemic paradigm,Home & Garden,23,2709.63,0.0,0
297,Operative responsive framework,Home & Garden,9,2690.46,2.0,3
407,Triple-buffered homogeneous Internet solution,Electronics,43,2666.43,2.8,5
26,Reverse-engineered systematic installation,Sports,21,2649.78,1.0,1
46,Inverse contextually-based archive,Sports,12,2642.52,4.0,1
198,Stand-alone exuding methodology,Clothing,22,2628.34,4.5,2
400,Customizable explicit firmware,Clothing,14,2598.54,0.0,0
142,Ergonomic bifurcated intranet,Electronics,31,2597.8,2.0,5
477,Triple-buffered incremental knowledge user,Books,46,2588.88,3.0,4
173,Multi-tiered analyzing hub,Books,54,2536.38,2.25,8
285,Right-sized systemic pricing structure,Clothing,16,2486.4,3.0,2
113,Face-to-face holistic flexibility,Sports,17,2483.19,2.6,5
378,Cloned analyzing application,Books,27,2474.82,5.0,1
447,Total zero tolerance implementation,Electronics,39,2389.14,1.8,5
331,Multi-channeled interactive function,Clothing,17,2332.23,3.0,3
138,Organic secondary middleware,Clothing,27,2306.88,1.0,1
343,Extended human-resource collaboration,Clothing,6,2246.46,0.0,0
497,Inverse asymmetric process improvement,Sports,47,2132.86,3.33,3
101,Expanded motivating productivity,Books,33,2123.22,3.67,3
51,Horizontal local leverage,Clothing,26,2097.16,3.0,4
8,Face-to-face intermediate ability,Books,18,2054.16,2.0,3
208,Multi-lateral 24/7 middleware,Sports,18,2044.98,3.0,2
411,Balanced demand-driven encryption,Sports,41,2037.7,2.83,6
325,Proactive tangible firmware,Sports,32,1996.16,4.67,3
366,Implemented zero tolerance Graphical User Interface,Home & Garden,44,1969.44,3.0,2
16,Decentralized executive concept,Sports,29,1936.91,1.0,1
